,자치구별(1),자치구별(2),항목,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021
0,자치구별(1),자치구별(2),항목,과속,신호위반,음주운전,스쿨존사고,과속,신호위반,음주운전,스쿨존사고,과속,신호위반,음주운전,스쿨존사고,과속,신호위반,음주운전,스쿨존사고,신호위반,음주운전,스쿨존사고
1,합계,종로구,발생건수 (건),1,146,70,3,1,133,63,6,-,155,48,-,-,108,47,1,130,45,1
2,합계,중구,발생건수 (건),-,132,39,1,5,140,70,-,4,174,30,-,3,118,49,2,93,43,1
3,합계,용산구,발생건수 (건),7,108,106,-,4,111,100,-,6,116,73,2,10,96,65,2,109,72,-
4,합계,성동구,발생건수 (건),2,142,79,1,4,121,85,2,2,153,61,1,5,132,80,1,131,87,3
5,합계,광진구,발생건수 (건),6,116,77,4,2,89,107,2,1,113,62,6,3,101,83,4,102,72,4
6,합계,동대문구,발생건수 (건),3,207,94,2,5,217,97,-,4,211,63,3,5,206,76,4,191,42,2
7,합계,중랑구,발생건수 (건),5,164,80,1,1,177,82,6,5,189,74,3,2,169,67,1,167,65,4
8,합계,성북구,발생건수 (건),3,204,82,4,5,181,86,3,2,213,62,8,-,141,54,2,154,55,4
9,합계,강북구,발생건수 (건),2,148,85,-,1,159,77,-,1,150,60,5,3,121,44,1,118,54,3
10,합계,도봉구,발생건수 (건),1,124,71,5,1,125,44,5,3,154,35,8,2,114,39,2,77,37,2
11,합계,노원구,발생건수 (건),1,184,114,2,1,170,110,2,7,225,93,6,6,168,86,1,166,76,3
12,합계,은평구,발생건수 (건),2,142,69,5,1,158,79,5,-,177,77,6,4,156,72,1,152,53,4
13,합계,서대문구,발생건수 (건),5,119,52,2,1,122,58,-,1,147,35,-,4,106,44,2,126,44,2
14,합계,마포구,발생건수 (건),6,210,184,1,8,177,159,2,4,166,118,2,1,154,88,2,153,100,1
15,합계,양천구,발생건수 (건),3,137,96,5,2,161,91,3,2,162,64,8,3,131,79,4,140,76,5
16,합계,강서구,발생건수 (건),1,185,122,4,5,217,137,6,7,251,110,16,8,225,120,5,207,119,5
17,합계,구로구,발생건수 (건),3,196,119,10,-,228,119,9,4,244,103,13,5,177,119,4,177,102,4
18,합계,금천구,발생건수 (건),4,122,68,-,1,117,93,1,2,133,76,1,-,122,90,1,105,66,1
19,합계,영등포구,발생건수 (건),20,289,179,4,10,325,172,5,7,331,114,2,3,291,129,4,267,115,4
20,합계,동작구,발생건수 (건),1,120,101,4,1,121,79,4,4,147,67,4,2,142,86,2,123,54,1
21,합계,관악구,발생건수 (건),1,151,89,2,1,159,104,3,4,165,95,3,6,168,91,2,172,73,3
22,합계,서초구,발생건수 (건),7,196,182,1,12,208,173,6,11,238,152,3,8,184,165,3,153,123,2
23,합계,강남구,발생건수 (건),11,312,403,9,4,300,373,5,13,330,293,6,9,322,343,6,371,281,3
24,합계,송파구,발생건수 (건),7,366,207,3,4,331,199,1,4,390,161,4,7,328,148,1,370,139,5
25,합계,강동구,발생건수 (건),3,143,96,8,2,151,99,1,4,164,64,4,3,123,63,7,144,66,1
